Materials,1960,1970,1980,1990,2000,2005,2010,2011,2012,2013,2014,2015
Products - Paper and Paperboard,0,150000,860000,8930000,9730000,7800000,4740000,4670000,4770000,4990000,4740000,4450000
Products - Glass,0,60000,300000,1810000,1790000,1660000,1360000,1490000,1480000,1450000,1450000,1470000
Products - Metals - Ferrous,0,60000,250000,1690000,1610000,1640000,1810000,2030000,2020000,2040000,2030000,2140000
Products - Metals - Aluminum,0,0,30000,300000,390000,410000,440000,490000,470000,460000,470000,500000
Products - Metals - OtherNonferrous,0,0,20000,60000,50000,50000,60000,70000,60000,50000,50000,60000
Products - Metals - Total,0,60000,300000,2050000,2050000,2100000,2310000,2590000,2550000,2550000,2550000,2700000
Products - Plastics,0,0,140000,2980000,4120000,4330000,4530000,5200000,5020000,4930000,5010000,5350000
Products - Rubber and Leather,0,10000,70000,830000,1970000,2110000,1910000,2050000,2350000,2710000,2620000,2490000
Products - Textiles,0,10000,50000,880000,1880000,2110000,2270000,2540000,2800000,2960000,3020000,3050000
Products - Wood,0,10000,150000,2080000,2290000,2270000,2310000,2550000,2550000,2500000,2540000,2580000
Products - Other,0,0,30000,410000,540000,510000,540000,630000,650000,670000,670000,690000
Products - Total Materials,0,300000,1900000,19970000,24370000,22890000,19970000,21720000,22170000,22760000,22600000,22780000
Other Wastes - Food Waste,0,50000,260000,4060000,5820000,5870000,6150000,6830000,6830000,6970000,7200000,7380000
Other Wastes - Yard Trimmings,0,90000,550000,5240000,2860000,2220000,2510000,2810000,2830000,2690000,2630000,2630000
Other Wastes - Miscellaneous Inorganic Wastes,0,10000,50000,490000,680000,670000,680000,750000,770000,780000,780000,780000
Other Wastes - Total,0,150000,860000,9790000,9360000,8760000,9340000,10390000,10430000,10440000,10610000,10790000
Total MSW Combusted - Weight,0,450000,2760000,29760000,33730000,31650000,29310000,32110000,32600000,33200000,33210000,33570000
,,,,,,,,,,,,
,,,,,,,,,,,,
"Table 3 Materials Combusted with Energy Recovery in the U.S. Municipal Waste Stream, 1960 to 2015 (in tons)",,,,,,,,,,,,
