,Country,Economic_status,Coastal_population,All_Waste_Generated_kg/day,%_Plastic_in_waste_stream
0,Albania,LMI,2530533.0,1948510.0,9.0
1,Algeria,UMI,16556580.0,19867896.0,12.0
2,Angola,LMI,3790041.0,1819220.0,13.0
3,Anguilla,HIC,14561.0,30578.0,12.0
4,Antigua & Barbuda,HIC,66843.0,367637.0,12.0
5,Argentina,UMI,16449245.0,20068079.0,15.0
6,Aruba,HIC,137910.0,289611.0,12.0
7,Australia,HIC,17235954.0,38436177.0,5.0
8,Bahamas,HIC,341145.0,1108721.0,12.0
9,Bahrain,HIC,743574.0,817931.0,12.0
10,Bangladesh,LI,70874124.0,30475873.0,8.0
11,Barbados,HIC,276784.0,1314724.0,12.0
12,Belgium,HIC,4747957.0,6314783.0,6.0
13,Belize,UMI,202429.0,580971.0,6.0
14,Benin,LI,3235418.0,1747126.0,8.0
15,Bermuda,HIC,66966.0,140629.0,12.0
16,Bosnia and Herzegovina,UMI,585582.0,702698.0,12.0
17,Brazil,UMI,74696771.0,76937674.0,16.0
18,British Virgin Islands,HIC,29674.0,62315.0,12.0
19,Brunei,HIC,359871.0,313088.0,3.0
20,Bulgaria,UMI,1002695.0,1283450.0,12.0
21,Burma/Myanmar,LI,18988522.0,8354950.0,17.0
22,Cambodia,LI,1391254.0,834752.0,11.0
23,Cameroon,LMI,1986723.0,1529777.0,6.0
24,Canada,HIC,11846863.0,27603191.0,4.0
25,Cape Verde,LMI,522245.0,261123.0,13.0
26,Cayman Islands,HIC,51864.0,108914.0,12.0
27,Channel Islands,HIC,153352.0,322039.0,12.0
28,Chile,UMI,5621550.0,6071274.0,11.0
29,China,UMI,262892387.0,289181626.0,11.0
30,Christmas Island,HIC,1402.0,2944.0,12.0
31,Cocos Islands,HIC,596.0,1252.0,12.0
32,Colombia,UMI,7498563.0,8998276.0,12.0
33,Comoros,LI,938595.0,2093067.0,9.0
34,Congo Rep of,LMI,847807.0,449338.0,13.0
35,"Congo, Dem rep. of",LI,1076056.0,538028.0,9.0
36,Cook Islands,UMI,20934.0,25121.0,12.0
37,Costa Rica,UMI,2479298.0,3371845.0,19.0
38,Cote d'Ivoire,LMI,6230583.0,4922161.0,13.0
39,Croatia,HIC,1602782.0,3365842.0,12.0
40,Cuba,UMI,11333471.0,9180112.0,11.0
41,Curacao,HIC,143784.0,301946.0,12.0
42,Cyprus,HIC,840556.0,1739951.0,12.0
43,Denmark,HIC,5376386.0,12580743.0,2.0
44,Dhekelia,HIC,15700.0,32970.0,12.0
45,Djibouti,LMI,621744.0,491178.0,13.0
46,Dominica,UMI,70138.0,86971.0,12.0
47,Dominican Republic,UMI,8232586.0,9879103.0,12.0
48,East Timor,LMI,668749.0,528312.0,13.0
49,Ecuador,LMI,6400048.0,7232054.0,13.0
50,Egypt,LMI,21750943.0,29798792.0,13.0
51,El Salvador,LMI,6410726.0,7244120.0,13.0
52,Equatorial Guinea,UMI,351600.0,421920.0,12.0
53,Eritrea,LI,1266222.0,633111.0,9.0
54,Estonia,HIC,878021.0,1290691.0,12.0
55,Falkland Islands,HIC,2602.0,5464.0,12.0
56,Faroe Islands,HIC,50554.0,106163.0,12.0
57,Fiji,UMI,896145.0,1881905.0,9.0
58,Finland,HIC,2927674.0,6235946.0,11.0
59,France,HIC,17287280.0,33191578.0,10.0
60,French Guiana,UMI,167631.0,201157.0,12.0
61,French Polynesia,HIC,270618.0,568298.0,12.0
62,Gabon,UMI,862328.0,388048.0,12.0
63,Georgia,LMI,1124249.0,1899981.0,4.0
64,Germany,HIC,8837035.0,18646144.0,23.0
65,Ghana,LMI,7727702.0,6104885.0,5.0
66,Gibraltar,HIC,33483.0,70314.0,12.0
67,Greece,HIC,9794702.0,19589404.0,10.0
68,Greenland,HIC,57068.0,119843.0,12.0
69,Grenada,UMI,96121.0,260488.0,12.0
70,Guadeloupe,UMI,466166.0,559399.0,12.0
71,Guam,HIC,190809.0,400699.0,12.0
72,Guatemala,LMI,2392442.0,4784884.0,14.0
73,Guernsey,HIC,56289.0,118207.0,12.0
74,Guinea,LI,1996496.0,1197898.0,5.0
75,Guinea-Bissau,LI,1208106.0,724864.0,9.0
76,Guyana,LMI,513235.0,2735543.0,11.0
77,Haiti,LI,9155693.0,9155693.0,9.0
78,Honduras,LMI,3324144.0,4820009.0,13.0
79,Hong Kong,HIC,7573074.0,15070417.0,20.0
80,Iceland,HIC,292708.0,456624.0,18.0
81,India,LMI,187493433.0,63747767.0,3.0
82,Indonesia,LMI,187223476.0,97356208.0,11.0
83,Iran,UMI,9099695.0,10919634.0,12.0
84,Iraq,LMI,639228.0,504990.0,13.0
85,Ireland,HIC,3749576.0,13423482.0,12.0
86,Isle of Man,HIC,81222.0,170566.0,12.0
87,Israel,HIC,6677810.0,14156957.0,14.0
88,Italy,HIC,33822532.0,75424246.0,6.0
89,Jamaica,UMI,2820558.0,507700.0,19.0
90,Japan,HIC,115228891.0,197041404.0,10.0
91,Jersey,HIC,90076.0,189160.0,12.0
92,Jordan,UMI,55392.0,66470.0,12.0
93,Kenya,LI,2729945.0,818984.0,9.0
94,Kiribati,LMI,94487.0,74645.0,13.0
95,"Korea, North",LI,17327483.0,10396490.0,9.0
96,"Korea, South (Republic of Korea)",HIC,41654619.0,51651728.0,9.0
97,Kuwait,HIC,2293604.0,13119415.0,12.0
98,Latvia,UMI,1432078.0,1475040.0,12.0
99,Lebanon,UMI,3890871.0,4591228.0,8.0
100,Liberia,LI,2148271.0,1288963.0,14.0
101,Libya,UMI,4050128.0,4860154.0,12.0
102,Lithuania,UMI,443894.0,488283.0,12.0
103,Macao,HIC,257911.0,379129.0,25.0
104,Madagascar,LI,7062413.0,5649930.0,2.0
105,Malaysia,UMI,22890252.0,34793183.0,13.0
106,Maldives,LMI,392567.0,973566.0,13.0
107,Malta,HIC,404707.0,720378.0,12.0
108,Marshall Islands,UMI,58086.0,69703.0,16.0
109,Martinique,HIC,402257.0,844740.0,12.0
110,Mauritania,LI,1005481.0,502741.0,9.0
111,Mauritius,UMI,1255952.0,2888690.0,10.0
112,Mexico,UMI,22647771.0,28083236.0,7.0
113,Micronesia,LMI,154895.0,122367.0,13.0
114,Monaco,HIC,34050.0,71505.0,12.0
115,Montenegro,UMI,260336.0,312403.0,12.0
116,Montserrat,UMI,5173.0,6208.0,12.0
117,Morocco,LMI,17303431.0,25263009.0,5.0
118,Mozambique,LI,9566559.0,1339318.0,11.0
119,Namibia,UMI,155084.0,186101.0,12.0
120,Nauru,UMI,15289.0,18347.0,12.0
121,Netherlands,HIC,8971770.0,19020152.0,20.0
122,Netherlands Antilles,HIC,227165.0,477047.0,12.0
123,New Caledonia,HIC,257904.0,541598.0,12.0
124,New Zealand,HIC,3862054.0,14212359.0,9.0
125,Nicaragua,LMI,3482653.0,3830918.0,13.0
126,Nigeria,LMI,27477112.0,21706918.0,13.0
127,Niue,HIC,1799.0,3778.0,12.0
128,Norfolk Island,LMI,2156.0,1703.0,13.0
129,Northern Mariana Islands,HIC,106256.0,223138.0,12.0
130,Norway,HIC,4131679.0,11568701.0,10.0
131,Oman,HIC,2597556.0,1818289.0,12.0
132,Pakistan,LMI,14581952.0,11519742.0,13.0
133,Palau,UMI,23446.0,28135.0,12.0
134,Palestine (Gaza Strip is only part on the coast),LMI,3045258.0,2405754.0,8.0
135,Panama,UMI,3249531.0,3931933.0,12.0
136,Papua New Guinea,LMI,2747514.0,2170536.0,13.0
137,Peru,UMI,13765608.0,16518730.0,12.0
138,Philippines,LMI,83446862.0,41723431.0,15.0
139,Poland,UMI,3272933.0,2880181.0,11.0
140,Portugal,HIC,8507951.0,18802572.0,12.0
141,Puerto Rico,HIC,4249848.0,8924681.0,12.0
142,Qatar,HIC,653007.0,868499.0,12.0
143,Reunion,UMI,809426.0,971311.0,12.0
144,Romania,UMI,875170.0,910177.0,4.0
145,Russia,UMI,10812537.0,10055659.0,12.0
146,Saint Helena,UMI,6839.0,8207.0,12.0
147,Saint Kitts and Nevis,UMI,36102.0,196756.0,12.0
148,Saint Lucia,UMI,163227.0,710037.0,12.0
149,"Saint Maarten, DWI",HIC,37429.0,78601.0,12.0
150,Saint Pierre,HIC,5888.0,12365.0,12.0
151,Saint Vincent and the Grenadines,UMI,120149.0,204253.0,13.0
152,Samoa,LMI,168025.0,132740.0,13.0
153,Sao Tome and Principe,LMI,163740.0,129355.0,13.0
154,Saudi Arabia,HIC,3593471.0,4671512.0,12.0
155,Senegal,LMI,8125063.0,6418800.0,13.0
156,Seychelles,UMI,91361.0,272256.0,12.0
157,Sierra Leone,LI,2887017.0,1299158.0,9.0
158,Singapore,HIC,4492494.0,6693816.0,13.0
159,Slovenia,HIC,336594.0,407279.0,12.0
160,Solomon Islands,LMI,618678.0,488756.0,13.0
161,Somalia,LI,5971169.0,3582701.0,9.0
162,South Africa,UMI,12899201.0,25798402.0,12.0
163,Spain,HIC,22771488.0,48503269.0,13.0
164,Sri Lanka,LMI,14568174.0,74297687.0,7.0
165,Sudan,LMI,752529.0,594498.0,13.0
166,Suriname,UMI,402263.0,547078.0,12.0
167,Svalbard,LMI,2226.0,1759.0,13.0
168,Sweden,HIC,6202234.0,9985597.0,3.0
169,Syria,LMI,3621997.0,4962136.0,13.0
170,Taiwan,HIC,22211567.0,46644291.0,12.0
171,Tanzania,LI,6688695.0,1739061.0,9.0
172,Thailand,UMI,26043442.0,31252130.0,12.0
173,The Gambia,LI,1324214.0,701833.0,9.0
174,Togo,LI,1991642.0,1035654.0,11.0
175,Tokelau,LMI,1379.0,1089.0,13.0
176,Tonga,LMI,102872.0,381655.0,6.0
177,Trinidad and Tobago,HIC,1358433.0,19561435.0,25.0
178,Tunisia,UMI,7274973.0,8729968.0,12.0
179,Turkey,UMI,34042862.0,60255866.0,12.0
180,Turks and Caicos Islands,HIC,22570.0,47397.0,12.0
181,Tuvalu,UMI,11563.0,13876.0,12.0
182,Ukraine,LMI,6812799.0,5382111.0,13.0
183,United Arab Emirates,HIC,2018302.0,3350381.0,12.0
184,United Kingdom,HIC,43258889.0,77433411.0,12.0
185,United States,HIC,112925034.0,291346588.0,13.0
186,Uruguay,HIC,2433597.0,5110554.0,12.0
187,USVI,HIC,134219.0,281860.0,12.0
188,Vanuatu,LMI,251851.0,826071.0,9.0
189,Venezuela,HIC,16094897.0,33799284.0,12.0
190,Vietnam,LMI,55858245.0,44128014.0,13.0
191,Yemen,LMI,6048920.0,4778647.0,13.0
